County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Androscoggin County, Maine(6)",23001,462.6,123.1,13.1,63.7,17.5,109.3,294.59999999999997,4317.200000000001,27.6
"Clark County, Wisconsin(6)",55019,462.6,123.0,13.1,63.7,17.5,109.3,2499.3999999999996,115829.10000000002,1069.3000000000002
"Banks County, Georgia(7)",13011,462.6,123.0,13.1,63.6,17.5,109.2,210.79999999999998,7724.899999999999,71.8
"St. Marys County, Maryland(6)",24037,462.5,123.0,13.1,63.6,17.5,109.2,1098.1,33986.8,747.9
"Appling County, Georgia(7)",13001,462.5,122.9,13.1,63.6,17.5,109.1,7536.699999999999,44477.799999999996,2900.2
"Dallas County, Missouri(6)",29059,462.4,122.9,13.1,63.6,17.5,109.1,637.4999999999999,6625.700000000001,27.9
"Glascock County, Georgia(7)",13125,462.4,122.9,13.1,63.6,17.5,109.0,741.5999999999999,3638.6,197.50000000000003
"Canyon County, Idaho(7)",16027,462.4,122.8,13.1,63.5,17.5,109.0,13674.800000000001,59777.200000000004,4189.499999999999
"Liberty County, Georgia(7)",13179,462.4,122.8,13.0,63.5,17.5,109.0,410.90000000000003,545.6,153.1
"Claiborne County, Mississippi(6)",28021,462.4,122.8,13.0,63.5,17.5,109.0,3545.8,20109.100000000002,287.0
"Kent County, Maryland(6)",24029,462.4,122.8,13.0,63.5,17.5,109.0,4741.800000000001,199216.0,3130.1
